profile,ear,band,active_prescription,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,camfit_gain_db,output_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,sigma_output_after_global_headroom_dbfs,global_headroom_gain_db,within_configured_sigma_graph_range
N1,left,1,True,177.0000,0.0000,229.2793,37.0,2.980938,39.980938,-63.000000,-60.019062,-80.019062,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,38.0,2.980938,40.980938,-62.000000,-59.019062,-79.019062,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,39.0,2.839156,41.839156,-61.000000,-58.160844,-78.160844,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,40.0,2.697374,42.697374,-60.000000,-57.302626,-77.302626,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,41.0,2.555592,43.555592,-59.000000,-56.444408,-76.444408,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,42.0,2.413810,44.413810,-58.000000,-55.586190,-75.586190,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,43.0,2.272027,45.272027,-57.000000,-54.727973,-74.727973,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,44.0,2.130245,46.130245,-56.000000,-53.869755,-73.869755,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,45.0,1.988463,46.988463,-55.000000,-53.011537,-73.011537,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,46.0,1.846681,47.846681,-54.000000,-52.153319,-72.153319,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,47.0,1.704899,48.704899,-53.000000,-51.295101,-71.295101,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,48.0,1.563117,49.563117,-52.000000,-50.436883,-70.436883,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,49.0,1.421335,50.421335,-51.000000,-49.578665,-69.578665,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,50.0,1.279552,51.279552,-50.000000,-48.720448,-68.720448,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,51.0,1.137770,52.137770,-49.000000,-47.862230,-67.862230,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,52.0,0.995988,52.995988,-48.000000,-47.004012,-67.004012,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,53.0,0.854206,53.854206,-47.000000,-46.145794,-66.145794,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,54.0,0.712424,54.712424,-46.000000,-45.287576,-65.287576,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,55.0,0.570642,55.570642,-45.000000,-44.429358,-64.429358,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,56.0,0.428860,56.428860,-44.000000,-43.571140,-63.571140,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,57.0,0.287077,57.287077,-43.000000,-42.712923,-62.712923,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,58.0,0.145295,58.145295,-42.000000,-41.854705,-61.854705,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,59.0,0.003513,59.003513,-41.000000,-40.996487,-60.996487,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,60.0,0.000000,60.000000,-40.000000,-40.000000,-60.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,61.0,0.000000,61.000000,-39.000000,-39.000000,-59.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,62.0,0.000000,62.000000,-38.000000,-38.000000,-58.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,63.0,0.000000,63.000000,-37.000000,-37.000000,-57.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,64.0,0.000000,64.000000,-36.000000,-36.000000,-56.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,65.0,0.000000,65.000000,-35.000000,-35.000000,-55.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,66.0,0.000000,66.000000,-34.000000,-34.000000,-54.000000,-20.000000,True
N1,left,1,True,177.0000,0.0000,229.2793,67.0,0.000000,67.000000,-33.000000,-33.000000,-53.000000,-20.000000,True
