profile,ear,band,centre_hz,edge_low_hz,edge_high_hz,input_level_db_spl,gain_db,output_level_db_spl
N1,left,1,177.0000,0.0000,229.2793,76.0,0.000000,76.000000
N1,left,1,177.0000,0.0000,229.2793,77.0,0.000000,77.000000
N1,left,1,177.0000,0.0000,229.2793,78.0,0.000000,78.000000
N1,left,1,177.0000,0.0000,229.2793,79.0,0.000000,79.000000
N1,left,1,177.0000,0.0000,229.2793,80.0,0.000000,80.000000
N1,left,1,177.0000,0.0000,229.2793,81.0,0.000000,81.000000
N1,left,1,177.0000,0.0000,229.2793,82.0,0.000000,82.000000
N1,left,1,177.0000,0.0000,229.2793,83.0,0.000000,83.000000
N1,left,1,177.0000,0.0000,229.2793,84.0,0.000000,84.000000
N1,left,1,177.0000,0.0000,229.2793,85.0,0.000000,85.000000
N1,left,1,177.0000,0.0000,229.2793,86.0,0.000000,86.000000
N1,left,1,177.0000,0.0000,229.2793,87.0,0.000000,87.000000
N1,left,1,177.0000,0.0000,229.2793,88.0,0.000000,88.000000
N1,left,1,177.0000,0.0000,229.2793,89.0,0.000000,89.000000
N1,left,1,177.0000,0.0000,229.2793,90.0,0.000000,90.000000
N1,left,1,177.0000,0.0000,229.2793,91.0,0.000000,91.000000
N1,left,1,177.0000,0.0000,229.2793,92.0,0.000000,92.000000
N1,left,1,177.0000,0.0000,229.2793,93.0,0.000000,93.000000
N1,left,1,177.0000,0.0000,229.2793,94.0,0.000000,94.000000
N1,left,1,177.0000,0.0000,229.2793,95.0,0.000000,95.000000
N1,left,1,177.0000,0.0000,229.2793,96.0,0.000000,96.000000
N1,left,1,177.0000,0.0000,229.2793,97.0,0.000000,97.000000
N1,left,1,177.0000,0.0000,229.2793,98.0,0.000000,98.000000
N1,left,1,177.0000,0.0000,229.2793,99.0,0.000000,99.000000
N1,left,1,177.0000,0.0000,229.2793,100.0,0.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,101.0,-1.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,102.0,-2.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,103.0,-3.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,104.0,-4.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,105.0,-5.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,106.0,-6.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,107.0,-7.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,108.0,-8.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,109.0,-9.000000,100.000000
N1,left,1,177.0000,0.0000,229.2793,110.0,-10.000000,100.000000
N1,left,2,297.0000,229.2793,385.3570,-10.0,0.000000,-10.000000
N1,left,2,297.0000,229.2793,385.3570,-9.0,0.000000,-9.000000
N1,left,2,297.0000,229.2793,385.3570,-8.0,0.000000,-8.000000
N1,left,2,297.0000,229.2793,385.3570,-7.0,0.000000,-7.000000
N1,left,2,297.0000,229.2793,385.3570,-6.0,0.000000,-6.000000
N1,left,2,297.0000,229.2793,385.3570,-5.0,0.000000,-5.000000
N1,left,2,297.0000,229.2793,385.3570,-4.0,0.000000,-4.000000
N1,left,2,297.0000,229.2793,385.3570,-3.0,0.000000,-3.000000
N1,left,2,297.0000,229.2793,385.3570,-2.0,0.000000,-2.000000
N1,left,2,297.0000,229.2793,385.3570,-1.0,0.000000,-1.000000
N1,left,2,297.0000,229.2793,385.3570,0.0,0.000000,0.000000
N1,left,2,297.0000,229.2793,385.3570,1.0,0.000000,1.000000
N1,left,2,297.0000,229.2793,385.3570,2.0,0.000000,2.000000
N1,left,2,297.0000,229.2793,385.3570,3.0,0.000000,3.000000
N1,left,2,297.0000,229.2793,385.3570,4.0,0.000000,4.000000
N1,left,2,297.0000,229.2793,385.3570,5.0,0.000000,5.000000
N1,left,2,297.0000,229.2793,385.3570,6.0,0.000000,6.000000
N1,left,2,297.0000,229.2793,385.3570,7.0,0.000000,7.000000
N1,left,2,297.0000,229.2793,385.3570,8.0,0.000000,8.000000
N1,left,2,297.0000,229.2793,385.3570,9.0,0.000000,9.000000
