profile,ear,band,active_prescription,point,centre_hz,input_level_db_spl,sigma_graph_input_dbfs,sigma_graph_output_dbfs,camfit_gain_db,sigma_output_after_global_headroom_dbfs,maximum_interpolation_error_db,implementation_note
N1,right,5,True,3,1414.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,6,True,1,2378.0000,10.0,-90.000000,-85.094141,4.905859,-105.094141,0.000000000,enter x/y in compressor graph
N1,right,6,True,2,2378.0000,95.0,-5.000000,-0.094141,4.905859,-20.094141,0.000000000,enter x/y in compressor graph
N1,right,6,True,3,2378.0000,96.0,-4.000000,0.000000,4.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,6,True,4,2378.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,7,True,1,4000.0000,10.0,-90.000000,-73.386670,16.613330,-93.386670,0.000000000,enter x/y in compressor graph
N1,right,7,True,2,4000.0000,23.0,-77.000000,-60.386670,16.613330,-80.386670,0.000000000,enter x/y in compressor graph
N1,right,7,True,3,4000.0000,90.0,-10.000000,-0.368383,9.631617,-20.368383,0.000000000,enter x/y in compressor graph
N1,right,7,True,4,4000.0000,91.0,-9.000000,0.000000,9.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,7,True,5,4000.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,8,True,1,6727.0000,10.0,-90.000000,-57.406384,32.593616,-77.406384,0.000000000,enter x/y in compressor graph
N1,right,8,True,2,6727.0000,22.0,-78.000000,-45.406384,32.593616,-65.406384,0.000000000,enter x/y in compressor graph
N1,right,8,True,3,6727.0000,76.0,-24.000000,-23.832459,0.167541,-43.832459,0.000000000,enter x/y in compressor graph
N1,right,8,True,4,6727.0000,77.0,-23.000000,-23.000000,0.000000,-43.000000,0.000000000,enter x/y in compressor graph
N1,right,8,True,5,6727.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,8,True,6,6727.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.000000000,enter x/y in compressor graph
N1,right,9,False,1,11314.0000,10.0,-90.000000,-90.000000,0.000000,-110.000000,0.000000000,bypass compressor; global headroom still applies
N1,right,9,False,2,11314.0000,110.0,10.000000,10.000000,0.000000,-10.000000,0.000000000,bypass compressor; global headroom still applies
N2,left,1,True,1,177.0000,10.0,-90.000000,-81.486225,8.513775,-101.486225,0.009789179,enter x/y in compressor graph
N2,left,1,True,2,177.0000,38.0,-62.000000,-53.486225,8.513775,-73.486225,0.009789179,enter x/y in compressor graph
N2,left,1,True,3,177.0000,59.0,-41.000000,-40.989966,0.010034,-60.989966,0.009789179,enter x/y in compressor graph
N2,left,1,True,4,177.0000,100.0,0.000000,0.000000,0.000000,-20.000000,0.009789179,enter x/y in compressor graph
N2,left,1,True,5,177.0000,110.0,10.000000,0.000000,-10.000000,-20.000000,0.009789179,enter x/y in compressor graph
N2,left,2,True,1,297.0000,10.0,-90.000000,-85.199974,4.800026,-105.199974,0.006770160,enter x/y in compressor graph
